PA,SZ,YOUNG,ACTIVE,OLD,TOTAL
Novena,Dunearn,1110,2050,750,3910
Novena,Malcolm,860,1490,480,2830
Novena,Moulmein,2850,5370,1000,9220
Novena,Mount Pleasant,200,390,140,730
Orchard,Boulevard,100,250,100,450
Orchard,Somerset,10,100,0,110
Orchard,Tanglin,120,270,70,460
Outram,China Square,180,890,450,1520
Outram,Chinatown,2440,6440,2070,10950
Outram,Pearl's Hill,1230,3910,2200,7340
Outram,People's Park,10,230,50,290
Pasir Ris,Flora Drive,4220,8830,1600,14650
Pasir Ris,Loyang East,570,1290,300,2160
Pasir Ris,Loyang West,0,0,170,170
Pasir Ris,Pasir Ris Central,9370,18550,2650,30570
Pasir Ris,Pasir Ris Drive,16820,33140,6040,56000
Pasir Ris,Pasir Ris Park,2440,4480,340,7260
Pasir Ris,Pasir Ris West,11730,21430,3060,36220
Punggol,Matilda,16130,28870,2950,47950
Punggol,Northshore,70,140,40,250
Punggol,Punggol Field,15940,28320,4160,48420
Punggol,Punggol Town Centre,5790,10780,910,17480
Punggol,Waterway East,16050,28590,2870,47510
Queenstown,Commonwealth,1380,4320,1760,7460
Queenstown,Dover,2930,6350,2040,11320
Queenstown,Ghim Moh,3090,7460,3020,13570
Queenstown,Holland Drive,2350,7450,3410,13210
Queenstown,Kent Ridge,180,520,140,840
Queenstown,Margaret Drive,4060,8820,2150,15030
Queenstown,Mei Chin,3650,9150,3040,15840
Queenstown,National University Of S'pore,110,140,0,250
Queenstown,One North,170,460,20,650
Queenstown,Pasir Panjang 1,1140,2730,540,4410
Queenstown,Pasir Panjang 2,800,1970,510,3280
Queenstown,Port,10,70,20,100
Queenstown,Queensway,50,210,50,310
Queenstown,Singapore Polytechnic,30,70,0,100
Queenstown,Tanglin Halt,2290,6810,2700,11800
River Valley,Institution Hill,960,2160,390,3510
River Valley,Leonie Hill,720,1820,300,2840
River Valley,One Tree Hill,480,1130,320,1930
River Valley,Oxley,320,890,260,1470
River Valley,Paterson,60,140,0,200
Rochor,Bencoolen,210,780,300,1290
Rochor,Farrer Park,600,1710,520,2830
Rochor,Kampong Glam,0,100,40,140
Rochor,Little India,650,1980,830,3460
Rochor,Mackenzie,30,90,0,120
Rochor,Mount Emily,270,950,120,1340
Rochor,Selegie,50,160,40,250
Rochor,Sungei Road,470,1180,530,2180
Rochor,Victoria,260,1140,540,1940
Seletar,Seletar,90,140,0,230
Sembawang,Admiralty,4440,8480,1260,14180
Sembawang,Sembawang Central,9320,18720,2500,30540
Sembawang,Sembawang East,2570,5520,400,8490
Sembawang,Sembawang North,8230,15810,2170,26210
Sembawang,Sembawang Springs,1920,3590,720,6230
Sembawang,Sembawang Straits,550,1000,180,1730
Sengkang,Anchorvale,14340,26160,3250,43750
Sengkang,Compassvale,6670,12930,1590,21190
Sengkang,Fernvale,17850,31820,4160,53830
Sengkang,Rivervale,18300,36400,5990,60690
Sengkang,Sengkang Town Centre,18460,37430,5410,61300
Serangoon,Lorong Chuan,2460,4880,1210,8550
Serangoon,Seletar Hills,3770,7790,2360,13920
Serangoon,Serangoon Central,5230,15440,4480,25150
Serangoon,Serangoon Garden,8460,21410,7430,37300
Serangoon,Serangoon North,4580,9730,1970,16280
Serangoon,Upper Paya Lebar,3820,9720,2700,16240
Singapore River,Boat Quay,0,100,20,120
Singapore River,Clarke Quay,10,120,10,140
Singapore River,Robertson Quay,740,1790,200,2730
Southern Islands,Sentosa,510,1190,100,1800
Sungei Kadut,Turf Club,170,390,150,710
Tampines,Simei,10740,24500,5150,40390
Tampines,Tampines East,35900,81520,17670,135090
Tampines,Tampines West,22030,48300,9660,79990
Tampines,Xilin,470,1090,180,1740
Tanglin,Chatsworth,1650,4050,800,6500
Tanglin,Nassim,2870,5320,1240,9430
Tanglin,Ridout,370,810,250,1430
Tanglin,Tyersall,970,2100,580,3650
Toa Payoh,Boon Teck,3070,7410,3120,13600
Toa Payoh,Braddell,2360,5650,2010,10020
Toa Payoh,Joo Seng,1850,4810,1310,7970
Toa Payoh,Kim Keat,1690,4900,1710,8300
Toa Payoh,Lorong 8 Toa Payoh,1530,4220,1810,7560
Toa Payoh,Pei Chun,2380,6170,2260,10810
Toa Payoh,Potong Pasir,2240,6730,2350,11320
Toa Payoh,Sennett,1330,3040,1040,5410
Toa Payoh,Toa Payoh Central,7210,16770,4900,28880
Toa Payoh,Toa Payoh West,2760,8270,3260,14290
Toa Payoh,Woodleigh,710,1470,260,2440
Western Water Catchment,Western Water Catchment,230,430,70,730
Woodlands,Midview,12150,21000,2830,35980
Woodlands,North Coast,3200,7640,2050,12890
Woodlands,Woodgrove,10730,20770,3080,34580
Woodlands,Woodlands East,31770,58380,6910,97060
Woodlands,Woodlands South,14070,24020,3080,41170
Woodlands,Woodlands West,8330,18380,4090,30800
Yishun,Khatib,2330,6640,1570,10540
Yishun,Lower Seletar,5470,9140,700,15310
Yishun,Nee Soon,240,550,150,940
Yishun,Northland,7480,18000,3560,29040
Yishun,Springleaf,1190,2350,690,4230
Yishun,Yishun Central,320,850,210,1380
Yishun,Yishun East,17730,34470,4740,56940
Yishun,Yishun South,9990,25550,5330,40870
Yishun,Yishun West,13540,34480,7770,55790
