PA,AG,SX,PP
Bukit Merah,70_to_74,Males,30
Bukit Merah,70_to_74,Males,10
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Females,20
Bukit Merah,70_to_74,Females,210
Bukit Merah,70_to_74,Females,270
Bukit Merah,70_to_74,Females,50
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,20
Bukit Merah,70_to_74,Females,10
Bukit Merah,70_to_74,Females,10
Bukit Merah,75_to_79,Males,10
Bukit Merah,75_to_79,Males,80
Bukit Merah,75_to_79,Males,130
Bukit Merah,75_to_79,Males,40
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,10
Bukit Merah,75_to_79,Males,10
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Females,10
Bukit Merah,75_to_79,Females,160
Bukit Merah,75_to_79,Females,120
Bukit Merah,75_to_79,Females,40
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,20
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,80_to_84,Males,10
Bukit Merah,80_to_84,Males,90
Bukit Merah,80_to_84,Males,70
Bukit Merah,80_to_84,Males,20
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,10
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Females,20
Bukit Merah,80_to_84,Females,120
Bukit Merah,80_to_84,Females,100
Bukit Merah,80_to_84,Females,30
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,10
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,30
Bukit Merah,85_to_89,Males,30
Bukit Merah,85_to_89,Males,10
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Females,10
Bukit Merah,85_to_89,Females,50
Bukit Merah,85_to_89,Females,50
Bukit Merah,85_to_89,Females,10
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,20
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Females,10
Bukit Merah,90_and_over,Females,30
Bukit Merah,90_and_over,Females,30
Bukit Merah,90_and_over,Females,10
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,0_to_4,Males,10
Bukit Merah,0_to_4,Males,40
Bukit Merah,0_to_4,Males,20
Bukit Merah,0_to_4,Males,20
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Females,10
Bukit Merah,0_to_4,Females,30
Bukit Merah,0_to_4,Females,20
Bukit Merah,0_to_4,Females,20
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,5_to_9,Males,10
Bukit Merah,5_to_9,Males,50
Bukit Merah,5_to_9,Males,40
Bukit Merah,5_to_9,Males,40
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Females,10
Bukit Merah,5_to_9,Females,60
Bukit Merah,5_to_9,Females,40
Bukit Merah,5_to_9,Females,40
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,10_to_14,Males,10
Bukit Merah,10_to_14,Males,60
Bukit Merah,10_to_14,Males,60
Bukit Merah,10_to_14,Males,60
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Females,20
Bukit Merah,10_to_14,Females,50
Bukit Merah,10_to_14,Females,70
Bukit Merah,10_to_14,Females,50
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,15_to_19,Males,10
Bukit Merah,15_to_19,Males,70
Bukit Merah,15_to_19,Males,40
Bukit Merah,15_to_19,Males,50
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Females,10
Bukit Merah,15_to_19,Females,60
Bukit Merah,15_to_19,Females,40
Bukit Merah,15_to_19,Females,40
Bukit Merah,15_to_19,Females,0
Bukit Merah,15_to_19,Females,0
Bukit Merah,15_to_19,Females,0
Bukit Merah,15_to_19,Females,0
Bukit Merah,20_to_24,Males,30
Bukit Merah,20_to_24,Males,90
Bukit Merah,20_to_24,Males,40
Bukit Merah,20_to_24,Males,50
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Females,10
Bukit Merah,20_to_24,Females,80
Bukit Merah,20_to_24,Females,30
Bukit Merah,20_to_24,Females,40
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,0
Bukit Merah,25_to_29,Males,20
Bukit Merah,25_to_29,Males,110
Bukit Merah,25_to_29,Males,30
Bukit Merah,25_to_29,Males,30
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Females,10
Bukit Merah,25_to_29,Females,120
Bukit Merah,25_to_29,Females,40
Bukit Merah,25_to_29,Females,40
Bukit Merah,25_to_29,Females,0
Bukit Merah,25_to_29,Females,0
Bukit Merah,25_to_29,Females,0
Bukit Merah,25_to_29,Females,0
Bukit Merah,30_to_34,Males,20
Bukit Merah,30_to_34,Males,150
Bukit Merah,30_to_34,Males,50
Bukit Merah,30_to_34,Males,40
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Females,20
Bukit Merah,30_to_34,Females,130
Bukit Merah,30_to_34,Females,40
Bukit Merah,30_to_34,Females,40
Bukit Merah,30_to_34,Females,0
Bukit Merah,30_to_34,Females,0
Bukit Merah,30_to_34,Females,0
Bukit Merah,30_to_34,Females,0
Bukit Merah,35_to_39,Males,20
Bukit Merah,35_to_39,Males,120
Bukit Merah,35_to_39,Males,30
Bukit Merah,35_to_39,Males,40
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Females,30
Bukit Merah,35_to_39,Females,120
Bukit Merah,35_to_39,Females,50
Bukit Merah,35_to_39,Females,40
Bukit Merah,35_to_39,Females,0
Bukit Merah,35_to_39,Females,0
Bukit Merah,35_to_39,Females,0
Bukit Merah,35_to_39,Females,0
Bukit Merah,40_to_44,Males,30
Bukit Merah,40_to_44,Males,150
Bukit Merah,40_to_44,Males,70
Bukit Merah,40_to_44,Males,50
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Females,30
Bukit Merah,40_to_44,Females,140
Bukit Merah,40_to_44,Females,100
Bukit Merah,40_to_44,Females,60
Bukit Merah,40_to_44,Females,0
Bukit Merah,40_to_44,Females,0
Bukit Merah,40_to_44,Females,0
Bukit Merah,40_to_44,Females,0
Bukit Merah,45_to_49,Males,50
Bukit Merah,45_to_49,Males,140
Bukit Merah,45_to_49,Males,100
Bukit Merah,45_to_49,Males,70
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Females,40
Bukit Merah,45_to_49,Females,150
Bukit Merah,45_to_49,Females,70
Bukit Merah,45_to_49,Females,70
Bukit Merah,45_to_49,Females,0
Bukit Merah,45_to_49,Females,0
Bukit Merah,45_to_49,Females,0
Bukit Merah,45_to_49,Females,0
Bukit Merah,50_to_54,Males,70
Bukit Merah,50_to_54,Males,160
Bukit Merah,50_to_54,Males,50
Bukit Merah,50_to_54,Males,50
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Females,40
Bukit Merah,50_to_54,Females,170
Bukit Merah,50_to_54,Females,70
Bukit Merah,50_to_54,Females,60
Bukit Merah,50_to_54,Females,0
Bukit Merah,50_to_54,Females,0
Bukit Merah,50_to_54,Females,0
Bukit Merah,50_to_54,Females,0
Bukit Merah,55_to_59,Males,120
Bukit Merah,55_to_59,Males,170
Bukit Merah,55_to_59,Males,40
Bukit Merah,55_to_59,Males,40
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Females,50
Bukit Merah,55_to_59,Females,170
Bukit Merah,55_to_59,Females,50
Bukit Merah,55_to_59,Females,50
Bukit Merah,55_to_59,Females,0
Bukit Merah,55_to_59,Females,0
Bukit Merah,55_to_59,Females,0
Bukit Merah,55_to_59,Females,0
Bukit Merah,60_to_64,Males,150
Bukit Merah,60_to_64,Males,180
Bukit Merah,60_to_64,Males,40
Bukit Merah,60_to_64,Males,50
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Females,50
Bukit Merah,60_to_64,Females,190
Bukit Merah,60_to_64,Females,40
Bukit Merah,60_to_64,Females,40
Bukit Merah,60_to_64,Females,0
Bukit Merah,60_to_64,Females,0
Bukit Merah,60_to_64,Females,0
Bukit Merah,60_to_64,Females,0
Bukit Merah,65_to_69,Males,120
Bukit Merah,65_to_69,Males,170
Bukit Merah,65_to_69,Males,40
Bukit Merah,65_to_69,Males,40
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Females,60
Bukit Merah,65_to_69,Females,210
Bukit Merah,65_to_69,Females,50
Bukit Merah,65_to_69,Females,30
Bukit Merah,65_to_69,Females,0
Bukit Merah,65_to_69,Females,0
Bukit Merah,65_to_69,Females,0
Bukit Merah,65_to_69,Females,0
Bukit Merah,70_to_74,Males,120
Bukit Merah,70_to_74,Males,130
Bukit Merah,70_to_74,Males,30
Bukit Merah,70_to_74,Males,30
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Females,60
Bukit Merah,70_to_74,Females,180
Bukit Merah,70_to_74,Females,40
Bukit Merah,70_to_74,Females,40
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,0
Bukit Merah,75_to_79,Males,60
Bukit Merah,75_to_79,Males,80
Bukit Merah,75_to_79,Males,30
Bukit Merah,75_to_79,Males,20
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Females,40
Bukit Merah,75_to_79,Females,130
Bukit Merah,75_to_79,Females,30
Bukit Merah,75_to_79,Females,40
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,80_to_84,Males,40
Bukit Merah,80_to_84,Males,60
Bukit Merah,80_to_84,Males,20
Bukit Merah,80_to_84,Males,20
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Females,50
Bukit Merah,80_to_84,Females,110
Bukit Merah,80_to_84,Females,20
Bukit Merah,80_to_84,Females,20
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,85_to_89,Males,10
Bukit Merah,85_to_89,Males,30
Bukit Merah,85_to_89,Males,10
Bukit Merah,85_to_89,Males,10
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Females,30
Bukit Merah,85_to_89,Females,60
Bukit Merah,85_to_89,Females,10
Bukit Merah,85_to_89,Females,20
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Males,20
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Females,20
Bukit Merah,90_and_over,Females,40
Bukit Merah,90_and_over,Females,10
Bukit Merah,90_and_over,Females,10
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,50
Bukit Merah,0_to_4,Males,160
Bukit Merah,0_to_4,Males,50
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,10
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,40
Bukit Merah,0_to_4,Females,140
Bukit Merah,0_to_4,Females,60
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,20
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,5_to_9,Males,10
Bukit Merah,5_to_9,Males,40
Bukit Merah,5_to_9,Males,170
Bukit Merah,5_to_9,Males,80
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,20
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,20
Bukit Merah,5_to_9,Females,170
Bukit Merah,5_to_9,Females,100
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,30
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,20
Bukit Merah,10_to_14,Males,130
Bukit Merah,10_to_14,Males,100
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,30
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,20
Bukit Merah,10_to_14,Females,130
Bukit Merah,10_to_14,Females,90
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,30
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,30
Bukit Merah,15_to_19,Males,110
Bukit Merah,15_to_19,Males,70
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,20
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Males,0
Bukit Merah,15_to_19,Females,10
Bukit Merah,15_to_19,Females,30
Bukit Merah,15_to_19,Females,80
Bukit Merah,15_to_19,Females,60
Bukit Merah,15_to_19,Females,0
Bukit Merah,15_to_19,Females,20
Bukit Merah,15_to_19,Females,0
Bukit Merah,15_to_19,Females,0
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,40
Bukit Merah,20_to_24,Males,110
Bukit Merah,20_to_24,Males,60
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,10
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Males,0
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,40
Bukit Merah,20_to_24,Females,100
Bukit Merah,20_to_24,Females,60
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,10
Bukit Merah,20_to_24,Females,0
Bukit Merah,20_to_24,Females,0
Bukit Merah,25_to_29,Males,10
Bukit Merah,25_to_29,Males,50
Bukit Merah,25_to_29,Males,160
Bukit Merah,25_to_29,Males,70
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Males,10
Bukit Merah,25_to_29,Males,0
Bukit Merah,25_to_29,Males,10
Bukit Merah,25_to_29,Females,10
Bukit Merah,25_to_29,Females,60
Bukit Merah,25_to_29,Females,210
Bukit Merah,25_to_29,Females,60
Bukit Merah,25_to_29,Females,0
Bukit Merah,25_to_29,Females,20
Bukit Merah,25_to_29,Females,0
Bukit Merah,25_to_29,Females,0
Bukit Merah,30_to_34,Males,10
Bukit Merah,30_to_34,Males,90
Bukit Merah,30_to_34,Males,270
Bukit Merah,30_to_34,Males,80
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Males,20
Bukit Merah,30_to_34,Males,0
Bukit Merah,30_to_34,Males,10
Bukit Merah,30_to_34,Females,10
Bukit Merah,30_to_34,Females,120
Bukit Merah,30_to_34,Females,310
Bukit Merah,30_to_34,Females,90
Bukit Merah,30_to_34,Females,0
Bukit Merah,30_to_34,Females,40
Bukit Merah,30_to_34,Females,0
Bukit Merah,30_to_34,Females,10
Bukit Merah,35_to_39,Males,10
Bukit Merah,35_to_39,Males,90
Bukit Merah,35_to_39,Males,260
Bukit Merah,35_to_39,Males,60
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Males,30
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Males,0
Bukit Merah,35_to_39,Females,20
Bukit Merah,35_to_39,Females,120
Bukit Merah,35_to_39,Females,300
Bukit Merah,35_to_39,Females,80
Bukit Merah,35_to_39,Females,0
Bukit Merah,35_to_39,Females,40
Bukit Merah,35_to_39,Females,0
Bukit Merah,35_to_39,Females,0
Bukit Merah,40_to_44,Males,10
Bukit Merah,40_to_44,Males,110
Bukit Merah,40_to_44,Males,260
Bukit Merah,40_to_44,Males,100
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Males,50
Bukit Merah,40_to_44,Males,0
Bukit Merah,40_to_44,Males,10
Bukit Merah,40_to_44,Females,10
Bukit Merah,40_to_44,Females,100
Bukit Merah,40_to_44,Females,310
Bukit Merah,40_to_44,Females,130
Bukit Merah,40_to_44,Females,0
Bukit Merah,40_to_44,Females,50
Bukit Merah,40_to_44,Females,0
Bukit Merah,40_to_44,Females,0
Bukit Merah,45_to_49,Males,20
Bukit Merah,45_to_49,Males,90
Bukit Merah,45_to_49,Males,240
Bukit Merah,45_to_49,Males,140
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Males,50
Bukit Merah,45_to_49,Males,0
Bukit Merah,45_to_49,Males,10
Bukit Merah,45_to_49,Females,20
Bukit Merah,45_to_49,Females,100
Bukit Merah,45_to_49,Females,230
Bukit Merah,45_to_49,Females,130
Bukit Merah,45_to_49,Females,0
Bukit Merah,45_to_49,Females,50
Bukit Merah,45_to_49,Females,0
Bukit Merah,45_to_49,Females,10
Bukit Merah,50_to_54,Males,10
Bukit Merah,50_to_54,Males,70
Bukit Merah,50_to_54,Males,180
Bukit Merah,50_to_54,Males,90
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Males,30
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Males,0
Bukit Merah,50_to_54,Females,10
Bukit Merah,50_to_54,Females,80
Bukit Merah,50_to_54,Females,190
Bukit Merah,50_to_54,Females,100
Bukit Merah,50_to_54,Females,0
Bukit Merah,50_to_54,Females,30
Bukit Merah,50_to_54,Females,0
Bukit Merah,50_to_54,Females,0
Bukit Merah,55_to_59,Males,10
Bukit Merah,55_to_59,Males,70
Bukit Merah,55_to_59,Males,170
Bukit Merah,55_to_59,Males,80
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Males,20
Bukit Merah,55_to_59,Males,0
Bukit Merah,55_to_59,Males,10
Bukit Merah,55_to_59,Females,10
Bukit Merah,55_to_59,Females,100
Bukit Merah,55_to_59,Females,180
Bukit Merah,55_to_59,Females,80
Bukit Merah,55_to_59,Females,0
Bukit Merah,55_to_59,Females,20
Bukit Merah,55_to_59,Females,0
Bukit Merah,55_to_59,Females,0
Bukit Merah,60_to_64,Males,10
Bukit Merah,60_to_64,Males,90
Bukit Merah,60_to_64,Males,150
Bukit Merah,60_to_64,Males,70
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Males,10
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Males,0
Bukit Merah,60_to_64,Females,20
Bukit Merah,60_to_64,Females,110
Bukit Merah,60_to_64,Females,170
Bukit Merah,60_to_64,Females,80
Bukit Merah,60_to_64,Females,0
Bukit Merah,60_to_64,Females,10
Bukit Merah,60_to_64,Females,0
Bukit Merah,60_to_64,Females,0
Bukit Merah,65_to_69,Males,30
Bukit Merah,65_to_69,Males,100
Bukit Merah,65_to_69,Males,130
Bukit Merah,65_to_69,Males,70
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Males,10
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Males,0
Bukit Merah,65_to_69,Females,30
Bukit Merah,65_to_69,Females,110
Bukit Merah,65_to_69,Females,190
Bukit Merah,65_to_69,Females,80
Bukit Merah,65_to_69,Females,0
Bukit Merah,65_to_69,Females,10
Bukit Merah,65_to_69,Females,0
Bukit Merah,65_to_69,Females,0
Bukit Merah,70_to_74,Males,20
Bukit Merah,70_to_74,Males,80
Bukit Merah,70_to_74,Males,130
Bukit Merah,70_to_74,Males,50
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Males,10
Bukit Merah,70_to_74,Males,0
Bukit Merah,70_to_74,Males,10
Bukit Merah,70_to_74,Females,30
Bukit Merah,70_to_74,Females,120
Bukit Merah,70_to_74,Females,170
Bukit Merah,70_to_74,Females,70
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,10
Bukit Merah,70_to_74,Females,0
Bukit Merah,70_to_74,Females,0
Bukit Merah,75_to_79,Males,10
Bukit Merah,75_to_79,Males,60
Bukit Merah,75_to_79,Males,100
Bukit Merah,75_to_79,Males,30
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Males,0
Bukit Merah,75_to_79,Females,10
Bukit Merah,75_to_79,Females,80
Bukit Merah,75_to_79,Females,120
Bukit Merah,75_to_79,Females,50
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,75_to_79,Females,0
Bukit Merah,80_to_84,Males,10
Bukit Merah,80_to_84,Males,40
Bukit Merah,80_to_84,Males,60
Bukit Merah,80_to_84,Males,30
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Males,0
Bukit Merah,80_to_84,Females,10
Bukit Merah,80_to_84,Females,80
Bukit Merah,80_to_84,Females,120
Bukit Merah,80_to_84,Females,30
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,80_to_84,Females,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,20
Bukit Merah,85_to_89,Males,30
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Males,0
Bukit Merah,85_to_89,Females,10
Bukit Merah,85_to_89,Females,30
Bukit Merah,85_to_89,Females,40
Bukit Merah,85_to_89,Females,20
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,85_to_89,Females,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Males,20
Bukit Merah,90_and_over,Males,10
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Males,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,40
Bukit Merah,90_and_over,Females,40
Bukit Merah,90_and_over,Females,10
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,90_and_over,Females,0
Bukit Merah,0_to_4,Males,50
Bukit Merah,0_to_4,Males,20
Bukit Merah,0_to_4,Males,120
Bukit Merah,0_to_4,Males,90
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,30
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Males,0
Bukit Merah,0_to_4,Females,40
Bukit Merah,0_to_4,Females,10
Bukit Merah,0_to_4,Females,110
Bukit Merah,0_to_4,Females,80
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,20
Bukit Merah,0_to_4,Females,0
Bukit Merah,0_to_4,Females,0
Bukit Merah,5_to_9,Males,40
Bukit Merah,5_to_9,Males,10
Bukit Merah,5_to_9,Males,140
Bukit Merah,5_to_9,Males,100
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,30
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Males,0
Bukit Merah,5_to_9,Females,50
Bukit Merah,5_to_9,Females,10
Bukit Merah,5_to_9,Females,130
Bukit Merah,5_to_9,Females,90
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,40
Bukit Merah,5_to_9,Females,0
Bukit Merah,5_to_9,Females,0
Bukit Merah,10_to_14,Males,50
Bukit Merah,10_to_14,Males,10
Bukit Merah,10_to_14,Males,160
Bukit Merah,10_to_14,Males,140
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,40
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Males,0
Bukit Merah,10_to_14,Females,50
Bukit Merah,10_to_14,Females,10
Bukit Merah,10_to_14,Females,160
Bukit Merah,10_to_14,Females,130
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,30
Bukit Merah,10_to_14,Females,0
Bukit Merah,10_to_14,Females,0
Bukit Merah,15_to_19,Males,50
Bukit Merah,15_to_19,Males,10
Bukit Merah,15_to_19,Males,110
Bukit Merah,15_to_19,Males,150
Bukit Merah,15_to_19,Males,0
