PA,AG,SX,PP
Ang Mo Kio,45_to_49,Males,0
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,10
Ang Mo Kio,45_to_49,Females,30
Ang Mo Kio,45_to_49,Females,90
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,120
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,45_to_49,Females,0
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,10
Ang Mo Kio,50_to_54,Males,30
Ang Mo Kio,50_to_54,Males,60
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,100
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Males,0
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,10
Ang Mo Kio,50_to_54,Females,20
Ang Mo Kio,50_to_54,Females,60
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,100
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,50_to_54,Females,0
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,20
Ang Mo Kio,55_to_59,Males,20
Ang Mo Kio,55_to_59,Males,70
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,70
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Males,0
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,20
Ang Mo Kio,55_to_59,Females,20
Ang Mo Kio,55_to_59,Females,50
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,50
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,55_to_59,Females,0
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,20
Ang Mo Kio,60_to_64,Males,20
Ang Mo Kio,60_to_64,Males,50
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,50
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Males,0
Ang Mo Kio,60_to_64,Females,0
