PA,SX,AG,Subsum
Boon Lay,Males,90_and_over,0
Bukit Batok,Females,0_to_4,4400
Bukit Batok,Females,10_to_14,3820
Bukit Batok,Females,15_to_19,4100
Bukit Batok,Females,20_to_24,4740
Bukit Batok,Females,25_to_29,5900
Bukit Batok,Females,30_to_34,7910
Bukit Batok,Females,35_to_39,6120
Bukit Batok,Females,40_to_44,5800
Bukit Batok,Females,45_to_49,6020
Bukit Batok,Females,5_to_9,3740
Bukit Batok,Females,50_to_54,6080
Bukit Batok,Females,55_to_59,6120
Bukit Batok,Females,60_to_64,6240
Bukit Batok,Females,65_to_69,5230
Bukit Batok,Females,70_to_74,3620
Bukit Batok,Females,75_to_79,1890
Bukit Batok,Females,80_to_84,1310
Bukit Batok,Females,85_to_89,690
Bukit Batok,Females,90_and_over,500
Bukit Batok,Males,0_to_4,4590
Bukit Batok,Males,10_to_14,3760
Bukit Batok,Males,15_to_19,4220
Bukit Batok,Males,20_to_24,4910
Bukit Batok,Males,25_to_29,5590
Bukit Batok,Males,30_to_34,7310
Bukit Batok,Males,35_to_39,5740
Bukit Batok,Males,40_to_44,5240
Bukit Batok,Males,45_to_49,5550
Bukit Batok,Males,5_to_9,3990
Bukit Batok,Males,50_to_54,5670
Bukit Batok,Males,55_to_59,6270
Bukit Batok,Males,60_to_64,5890
Bukit Batok,Males,65_to_69,5280
Bukit Batok,Males,70_to_74,3480
Bukit Batok,Males,75_to_79,1710
Bukit Batok,Males,80_to_84,1090
Bukit Batok,Males,85_to_89,420
Bukit Batok,Males,90_and_over,220
Bukit Merah,Females,0_to_4,2800
Bukit Merah,Females,10_to_14,3220
Bukit Merah,Females,15_to_19,2960
Bukit Merah,Females,20_to_24,3180
Bukit Merah,Females,25_to_29,4470
Bukit Merah,Females,30_to_34,5700
Bukit Merah,Females,35_to_39,5340
Bukit Merah,Females,40_to_44,5880
Bukit Merah,Females,45_to_49,5980
Bukit Merah,Females,5_to_9,3000
Bukit Merah,Females,50_to_54,5340
Bukit Merah,Females,55_to_59,5130
Bukit Merah,Females,60_to_64,5170
Bukit Merah,Females,65_to_69,5280
Bukit Merah,Females,70_to_74,5260
Bukit Merah,Females,75_to_79,3460
Bukit Merah,Females,80_to_84,2940
Bukit Merah,Females,85_to_89,1570
Bukit Merah,Females,90_and_over,1090
Bukit Merah,Males,0_to_4,2940
Bukit Merah,Males,10_to_14,3210
Bukit Merah,Males,15_to_19,3080
Bukit Merah,Males,20_to_24,3360
Bukit Merah,Males,25_to_29,3970
Bukit Merah,Males,30_to_34,5100
Bukit Merah,Males,35_to_39,4760
Bukit Merah,Males,40_to_44,5270
Bukit Merah,Males,45_to_49,5630
Bukit Merah,Males,5_to_9,3220
Bukit Merah,Males,50_to_54,5260
Bukit Merah,Males,55_to_59,5280
Bukit Merah,Males,60_to_64,5440
Bukit Merah,Males,65_to_69,4970
Bukit Merah,Males,70_to_74,4340
Bukit Merah,Males,75_to_79,2660
Bukit Merah,Males,80_to_84,1960
Bukit Merah,Males,85_to_89,930
Bukit Merah,Males,90_and_over,480
Bukit Panjang,Females,0_to_4,2730
Bukit Panjang,Females,10_to_14,3560
Bukit Panjang,Females,15_to_19,3700
Bukit Panjang,Females,20_to_24,4320
Bukit Panjang,Females,25_to_29,5090
Bukit Panjang,Females,30_to_34,5580
Bukit Panjang,Females,35_to_39,5030
Bukit Panjang,Females,40_to_44,4820
Bukit Panjang,Females,45_to_49,5190
Bukit Panjang,Females,5_to_9,3300
Bukit Panjang,Females,50_to_54,5110
Bukit Panjang,Females,55_to_59,5470
Bukit Panjang,Females,60_to_64,5270
Bukit Panjang,Females,65_to_69,4140
Bukit Panjang,Females,70_to_74,2730
Bukit Panjang,Females,75_to_79,1570
Bukit Panjang,Females,80_to_84,1150
Bukit Panjang,Females,85_to_89,640
Bukit Panjang,Females,90_and_over,390
Bukit Panjang,Males,0_to_4,2900
Bukit Panjang,Males,10_to_14,3540
Bukit Panjang,Males,15_to_19,3790
Bukit Panjang,Males,20_to_24,4530
Bukit Panjang,Males,25_to_29,5190
Bukit Panjang,Males,30_to_34,5310
Bukit Panjang,Males,35_to_39,4580
Bukit Panjang,Males,40_to_44,4470
Bukit Panjang,Males,45_to_49,4680
Bukit Panjang,Males,5_to_9,3540
Bukit Panjang,Males,50_to_54,4850
Bukit Panjang,Males,55_to_59,5120
Bukit Panjang,Males,60_to_64,5390
Bukit Panjang,Males,65_to_69,4250
Bukit Panjang,Males,70_to_74,2800
Bukit Panjang,Males,75_to_79,1420
Bukit Panjang,Males,80_to_84,740
Bukit Panjang,Males,85_to_89,340
Bukit Panjang,Males,90_and_over,160
Bukit Timah,Females,0_to_4,1750
Bukit Timah,Females,10_to_14,2800
Bukit Timah,Females,15_to_19,2600
Bukit Timah,Females,20_to_24,2360
Bukit Timah,Females,25_to_29,2260
Bukit Timah,Females,30_to_34,2490
Bukit Timah,Females,35_to_39,2800
Bukit Timah,Females,40_to_44,3160
Bukit Timah,Females,45_to_49,3440
Bukit Timah,Females,5_to_9,3050
Bukit Timah,Females,50_to_54,3250
Bukit Timah,Females,55_to_59,2690
Bukit Timah,Females,60_to_64,2510
Bukit Timah,Females,65_to_69,2200
Bukit Timah,Females,70_to_74,2000
Bukit Timah,Females,75_to_79,1260
Bukit Timah,Females,80_to_84,980
Bukit Timah,Females,85_to_89,570
Bukit Timah,Females,90_and_over,410
Bukit Timah,Males,0_to_4,1550
Bukit Timah,Males,10_to_14,2260
Bukit Timah,Males,15_to_19,2210
Bukit Timah,Males,20_to_24,2070
Bukit Timah,Males,25_to_29,2140
Bukit Timah,Males,30_to_34,2010
Bukit Timah,Males,35_to_39,2100
Bukit Timah,Males,40_to_44,2720
Bukit Timah,Males,45_to_49,3030
Bukit Timah,Males,5_to_9,2310
Bukit Timah,Males,50_to_54,3000
Bukit Timah,Males,55_to_59,2610
Bukit Timah,Males,60_to_64,2250
Bukit Timah,Males,65_to_69,2140
Bukit Timah,Males,70_to_74,1690
Bukit Timah,Males,75_to_79,1180
Bukit Timah,Males,80_to_84,770
Bukit Timah,Males,85_to_89,410
Bukit Timah,Males,90_and_over,210
Central Water Catchment,Females,0_to_4,0
Central Water Catchment,Females,10_to_14,0
Central Water Catchment,Females,15_to_19,0
Central Water Catchment,Females,20_to_24,0
Central Water Catchment,Females,25_to_29,0
Central Water Catchment,Females,30_to_34,0
Central Water Catchment,Females,35_to_39,0
Central Water Catchment,Females,40_to_44,0
Central Water Catchment,Females,45_to_49,0
Central Water Catchment,Females,5_to_9,0
Central Water Catchment,Females,50_to_54,0
Central Water Catchment,Females,55_to_59,0
Central Water Catchment,Females,60_to_64,0
Central Water Catchment,Females,65_to_69,0
Central Water Catchment,Females,70_to_74,0
Central Water Catchment,Females,75_to_79,0
Central Water Catchment,Females,80_to_84,0
Central Water Catchment,Females,85_to_89,0
Central Water Catchment,Females,90_and_over,0
Central Water Catchment,Males,0_to_4,0
Central Water Catchment,Males,10_to_14,0
Central Water Catchment,Males,15_to_19,0
Central Water Catchment,Males,20_to_24,0
Central Water Catchment,Males,25_to_29,0
Central Water Catchment,Males,30_to_34,0
Central Water Catchment,Males,35_to_39,0
Central Water Catchment,Males,40_to_44,0
Central Water Catchment,Males,45_to_49,0
Central Water Catchment,Males,5_to_9,0
Central Water Catchment,Males,50_to_54,0
Central Water Catchment,Males,55_to_59,0
Central Water Catchment,Males,60_to_64,0
Central Water Catchment,Males,65_to_69,0
Central Water Catchment,Males,70_to_74,0
Central Water Catchment,Males,75_to_79,0
Central Water Catchment,Males,80_to_84,0
Central Water Catchment,Males,85_to_89,0
Central Water Catchment,Males,90_and_over,0
Changi,Females,0_to_4,60
Changi,Females,10_to_14,70
Changi,Females,15_to_19,50
Changi,Females,20_to_24,30
Changi,Females,25_to_29,60
Changi,Females,30_to_34,70
Changi,Females,35_to_39,70
Changi,Females,40_to_44,70
Changi,Females,45_to_49,80
Changi,Females,5_to_9,90
Changi,Females,50_to_54,60
Changi,Females,55_to_59,50
Changi,Females,60_to_64,50
Changi,Females,65_to_69,20
Changi,Females,70_to_74,40
Changi,Females,75_to_79,0
Changi,Females,80_to_84,30
Changi,Females,85_to_89,10
Changi,Females,90_and_over,0
Changi,Males,0_to_4,50
Changi,Males,10_to_14,80
Changi,Males,15_to_19,60
Changi,Males,20_to_24,50
Changi,Males,25_to_29,50
Changi,Males,30_to_34,60
Changi,Males,35_to_39,60
Changi,Males,40_to_44,90
Changi,Males,45_to_49,90
Changi,Males,5_to_9,40
Changi,Males,50_to_54,80
Changi,Males,55_to_59,50
Changi,Males,60_to_64,60
Changi,Males,65_to_69,30
Changi,Males,70_to_74,30
Changi,Males,75_to_79,20
Changi,Males,80_to_84,10
Changi,Males,85_to_89,10
Changi,Males,90_and_over,0
Changi Bay,Females,0_to_4,0
Changi Bay,Females,10_to_14,0
Changi Bay,Females,15_to_19,0
Changi Bay,Females,20_to_24,0
Changi Bay,Females,25_to_29,0
Changi Bay,Females,30_to_34,0
Changi Bay,Females,35_to_39,0
Changi Bay,Females,40_to_44,0
Changi Bay,Females,45_to_49,0
