PA,SZ,Year,AGE0-4,AGE05-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85over,YOUNG,ACTIVE,OLD,TOTAL
Serangoon,Lorong Chuan,2018,320,420,480,590,650,660,420,480,570,700,740,710,600,380,300,200,170,160,2460,4880,1210,8550
Serangoon,Seletar Hills,2018,480,610,690,910,1080,1130,700,720,870,990,1100,1180,1100,900,560,410,260,230,3770,7790,2360,13920
Serangoon,Serangoon Central,2018,700,820,1000,1290,1420,2210,1900,1540,1610,1840,1750,2180,2410,1800,1130,720,460,370,5230,15440,4480,25150
Serangoon,Serangoon Garden,2018,1040,1280,1650,2000,2490,2870,2230,2130,2320,2660,2730,3110,3360,2810,1790,1190,830,810,8460,21410,7430,37300
Serangoon,Serangoon North,2018,510,680,880,1060,1450,1350,930,1030,990,1210,1520,1410,1290,900,460,300,170,140,4580,9730,1970,16280
Serangoon,Upper Paya Lebar,2018,530,710,710,830,1040,1520,1120,1000,1090,1130,1140,1360,1360,1060,640,480,270,250,3820,9720,2700,16240
Singapore River,Boat Quay,2018,0,0,0,0,0,0,0,20,10,10,20,20,20,0,10,10,0,0,0,100,20,120
Singapore River,Clarke Quay,2018,10,0,0,0,0,10,20,20,20,20,20,10,0,0,0,0,0,10,10,120,10,140
Singapore River,Robertson Quay,2018,210,220,130,90,90,110,180,350,370,340,190,140,110,70,50,50,20,10,740,1790,200,2730
Southern Islands,Sentosa,2018,130,110,90,100,80,90,90,140,190,230,190,150,110,60,20,20,0,0,510,1190,100,1800
Sungei Kadut,Turf Club,2018,20,30,30,40,50,50,40,50,40,60,60,50,40,40,40,30,30,10,170,390,150,710
Tampines,Simei,2018,1600,1830,2010,2380,2920,3380,2380,2980,3020,3060,3170,3510,3000,2170,1250,770,480,480,10740,24500,5150,40390
Tampines,Tampines East,2018,5710,5730,6140,7740,10580,11430,9300,9300,8420,8990,11060,11930,11090,7640,4300,2660,1670,1400,35900,81520,17670,135090
Tampines,Tampines West,2018,3810,3790,3870,4640,5920,6770,5880,5750,5390,5550,6110,6740,6110,4300,2360,1420,840,740,22030,48300,9660,79990
Tampines,Xilin,2018,40,60,70,120,180,160,90,80,90,120,190,200,160,80,60,20,10,10,470,1090,180,1740
Tanglin,Chatsworth,2018,330,420,370,270,260,300,410,650,730,730,500,390,340,290,210,150,80,70,1650,4050,800,6500
Tanglin,Nassim,2018,520,770,630,510,440,470,430,710,950,870,720,630,540,480,310,190,110,150,2870,5320,1240,9430
Tanglin,Ridout,2018,70,70,80,80,70,90,90,90,120,120,100,110,90,80,70,30,30,40,370,810,250,1430
Tanglin,Tyersall,2018,170,210,200,200,190,210,200,220,290,350,340,290,200,210,140,100,70,60,970,2100,580,3650
Toa Payoh,Boon Teck,2018,440,500,600,720,810,880,630,750,780,980,1060,1200,1130,890,760,640,430,400,3070,7410,3120,13600
Toa Payoh,Braddell,2018,350,410,480,500,620,690,570,660,680,760,780,770,740,640,460,410,250,250,2360,5650,2010,10020
Toa Payoh,Joo Seng,2018,330,390,370,350,410,620,610,620,650,620,560,570,560,430,330,240,160,150,1850,4810,1310,7970
Toa Payoh,Kim Keat,2018,230,290,300,350,520,650,510,510,530,610,610,760,720,580,450,330,200,150,1690,4900,1710,8300
Toa Payoh,Lorong 8 Toa Payoh,2018,190,230,270,370,470,500,410,420,500,580,570,670,570,580,400,400,230,200,1530,4220,1810,7560
Toa Payoh,Pei Chun,2018,300,400,520,590,570,600,550,620,810,920,970,880,820,650,560,510,300,240,2380,6170,2260,10810
Toa Payoh,Potong Pasir,2018,350,430,450,480,530,730,720,820,860,870,840,860,1030,950,610,400,220,170,2240,6730,2350,11320
Toa Payoh,Sennett,2018,200,240,280,290,320,400,360,400,400,350,360,370,400,330,250,170,120,170,1330,3040,1040,5410
Toa Payoh,Toa Payoh Central,2018,1300,1560,1400,1380,1570,1790,1700,2380,2500,2340,2180,2070,1810,1510,1150,1020,650,570,7210,16770,4900,28880
Toa Payoh,Toa Payoh West,2018,500,490,520,570,680,1000,990,980,1050,1060,1060,1100,1030,960,780,700,450,370,2760,8270,3260,14290
Toa Payoh,Woodleigh,2018,110,130,170,160,140,200,130,200,200,230,180,160,170,110,70,30,20,30,710,1470,260,2440
Western Water Catchment,Western Water Catchment,2018,40,40,30,30,90,40,50,60,80,40,60,60,40,10,10,20,10,20,230,430,70,730
Woodlands,Midview,2018,1780,1740,2010,2980,3640,2970,2530,2280,2170,2960,3500,2710,1880,1190,650,490,260,240,12150,21000,2830,35980
Woodlands,North Coast,2018,380,420,540,800,1060,1060,760,750,790,890,1200,1200,990,810,550,360,210,120,3200,7640,2050,12890
Woodlands,Woodgrove,2018,1120,1430,1860,2750,3570,2950,2030,2080,2340,2990,3460,2800,2120,1310,720,480,300,270,10730,20770,3080,34580
Woodlands,Woodlands East,2018,4990,5390,6270,7400,7720,7440,6940,7380,7960,8610,8130,6920,5000,3110,1660,1050,620,470,31770,58380,6910,97060
Woodlands,Woodlands South,2018,2290,2860,2940,3160,2820,2700,3020,3700,3630,3620,3080,2480,1790,1410,780,450,260,180,14070,24020,3080,41170
Woodlands,Woodlands West,2018,1120,1220,1430,1930,2630,2580,1970,1890,1780,2210,2670,2840,2440,1630,1020,730,430,280,8330,18380,4090,30800
Yishun,Khatib,2018,330,340,430,510,720,1010,720,650,630,700,880,1110,940,700,390,250,130,100,2330,6640,1570,10540
Yishun,Lower Seletar,2018,1910,1230,900,790,640,1520,2150,1630,1160,1010,730,550,390,290,190,90,70,60,5470,9140,700,15310
Yishun,Nee Soon,2018,40,60,40,50,50,60,40,50,90,90,80,80,60,40,40,30,20,20,240,550,150,940
Yishun,Northland,2018,1040,1130,1420,1760,2130,2500,1930,1950,2020,2150,2390,2760,2300,1600,870,560,300,230,7480,18000,3560,29040
Yishun,Springleaf,2018,140,180,230,290,350,380,200,200,260,310,310,370,320,270,210,110,50,50,1190,2350,690,4230
Yishun,Yishun Central,2018,40,60,40,50,130,120,100,100,70,60,120,140,140,90,60,30,20,10,320,850,210,1380
Yishun,Yishun East,2018,4720,3960,2840,2960,3250,4090,5970,5820,4250,3600,3900,3820,3020,2190,1170,700,410,270,17730,34470,4740,56940
Yishun,Yishun South,2018,1620,1600,1920,2160,2690,3990,2980,2790,2810,2960,3310,3600,3110,2220,1350,850,480,430,9990,25550,5330,40870
Yishun,Yishun West,2018,2020,2200,2680,3140,3500,4200,3750,3950,4150,4360,4740,4890,4440,3160,1910,1350,730,620,13540,34480,7770,55790
